坤卦靜態 坤卦靜態: j 419%, kʰ 282%, ʈ͡ʂʰ 216%, ʂ 172%, e 161%, p 149%, n 100%, ɑ 91%, x 63%, a 62%
離卦動態 兌卦靜態: t͡ɕ 215%, œ 185%, ʈ͡ʂʰ 170%, i 160%, ɛ 152%, ʈ͡ʂ 102%, ʊ 100%, k 89%, ŋ 80%, ə 66%
離卦動態 兌卦動態: j 295%, f 141%, ŋ 138%, t͡ɕʰ 126%, ɑ 112%, ɻ 100%, ɔ 98%, ʈ͡ʂ 88%, ə 68%, tʰ 63%
離卦動態 乾卦靜態: ɻ 159%, t͡s 135%, k 99%, ə 84%, ɕ 68%, ʈ͡ʂ 60%, ɔ 52%, m 44%, tʰ 41%, ɛ 33%
離卦動態 乾卦動態: ɤ 197%, ʊ 182%, ʈ͡ʂʰ 165%, k 112%, ŋ 99%, l 96%, ɻ 93%, i 71%, x 68%, ɯ 62%
兌卦靜態 兌卦靜態: k 210%, ʈ͡ʂʰ 137%, ɤ 114%, ɛ 113%, ə 106%, pʰ 103%, n 94%, ŋ 47%, u 47%, e 43%
兌卦靜態 兌卦動態: ɑ 185%, ɻ 107%, ʈ͡ʂ 77%, u 64%, t͡ɕʰ 61%, ʊ 61%, i 54%, kʰ 36%, l 26%, ŋ 23%
兌卦靜態 乾卦靜態: n 171%, ə 157%, t͡sʰ 142%, ʈ͡ʂ 121%, k 111%, ŋ 109%, œ 90%, u 82%, m 82%, a 74%
兌卦靜態 乾卦動態: t͡ɕ 200%, ɤ 126%, ɑ 102%, ɯ 71%, ʌ 71%, ɔ 70%, t͡ɕʰ 60%, ɨ 54%, ʂ 50%, t͡s 35%
兌卦動態 兌卦動態: ɤ 242%, e 227%, ɻ 219%, ʊ 199%, tʰ 187%, k 184%, f 174%, ɪ 149%, kʰ 144%, p 122%
兌卦動態 乾卦靜態: ə 144%, m 139%, pʰ 116%, ʈ͡ʂ 90%, ŋ 89%, ɛ 80%, t͡s 79%, a 78%, n 65%, ɨ 58%
兌卦動態 乾卦動態: ɕ 324%, ŋ 287%, ə 170%, i 110%, ʈ͡ʂʰ 109%, ʂ 85%, k 82%, t͡ɕʰ 81%, m 57%, ɯ 41%
乾卦靜態 乾卦靜態: ʂ 598%, ɻ 580%, s 324%, k 235%, ɨ 168%, ɯ 156%, ʌ 156%, ɤ 94%, l 89%, t͡s 88%
乾卦靜態 乾卦動態: e 122%, t 113%, ɯ 110%, ʌ 110%, t͡s 75%, m 67%, ɻ 56%, u 52%, ʈ͡ʂʰ 47%, ɪ 31%
乾卦動態 乾卦動態: ə 315%, ɯ 241%, ʌ 241%, n 209%, œ 158%, t 143%, ɻ 110%, t͡ɕʰ 109%, m 97%, f 87%

