แล้ว	lɛ́ːw
เครื่องตกแต่ง	kʰrɯ̂ːaŋ tòk tɛ̀ŋ
มิกซ์	mík
โจรสลัด	tɕoːn sà làt
จุลภาค	tɕun lá pʰâːk
โดยธรรมชาติ	doːj tʰam má tɕʰâːt
แนวความคิด	nɛːw kʰwaːm kʰít
ออนซ์	ʔɔːn
น่าตื่นเต้น	nâː tɯ̀ːn tên
รายการ	raːj kaːn
เซนต์	seːn
ปลายน้ำ	plaːj náːm
การขนส่ง	kaːn kʰǒn sòŋ
สเปิร์ม	sà pɤːm
คัดค้าน	kʰát kʰáːn
ความตึงเครียด	kʰwaːm tɯŋ kʰrîːat
บรรทัดฐาน	ban tʰát tʰǎːn
คะยั้นคะยอ	kʰáʔ ján kʰáʔ jɔː
มัสตาร์ด	mát tàːd
ซาก	sâːk
รักร่วมเพศ	rák rûːam pʰêːt
บังคับใช้	baŋ kʰáp tɕʰáj
อุดมคติ	ʔùʔ dom kʰá tìʔ
การเกิดขึ้น	kaːn kɤ̀ːt kʰɯ̂n
ยืนยัน	jɯːn jan
โครงร่าง	kʰroːŋ râːŋ
ชั่วร้าย	tɕʰûːa ráːj
ขึ้นไป	kʰɯ̂n paj
เครื่องรับ	kʰrɯ̂ːaŋ ráp
สีน้ำตาล	sǐː nám taːn
ผู้รอดชีวิต	pʰûː rɔ̂ːt tɕʰiː wít
ปวดหัว	pùːat hǔːa
การระบายอากาศ	kaːn ráʔ baːj ʔaː kàːt
นักบุญ	nák bun
บด	bòt
เช่น	tɕʰên
สัมภาระ	sǎm pʰaː ráʔ
ความอุดมสมบูรณ์	kʰwaːm ʔùʔ dom sǒm buːn
นักวางแผน	nák waːŋ pʰɛ̌ːn
กระบวนทัศน์	kràʔ buːan tʰát
กระโปรง	kràʔ proːŋ
การเริ่มต้น	kaːn rɤ̂ːm tôn
วางตลาด	waːŋ tà làːt
แปลกตา	plɛ̀ːk taː
กระป๋อง	kràʔ pɔ̌ːŋ
นาม	naːm
แกลลอน	klɛː lɔːn
เพราะเหตุนี้	pʰrɔ́ʔ hěː tùʔ níː
น้ำซุป	náːm súp
ความคิด	kʰwaːm kʰít
ตะโกน	tàʔ koːn
การกรอง	kaːn krɔːŋ
อธิปไตย	ʔà tʰíp pà taj
ที่ยืนยง	tʰîː jɯːn joŋ
ทักทาย	tʰák tʰaːj
เทววิทยา	tʰeː wáʔ wít tʰá jaː
ต่อเนื่อง	tɔ̀ː nɯ̂ːaŋ
รายได้	raːj dâj
ปรับแต่ง	pràp tɛ̀ŋ
กึ่ง	kɯ̀ŋ
ประโยชน์	pràʔ jòːt
เปล่า	plàːw
การเล่น	kaːn lên
เครื่องใช้	kʰrɯ̂ːaŋ tɕʰáj
เทศน์	tʰêːt
การรวมบัญชี	kaːn ruːam ban tɕʰiː
จางหายไป	tɕaːŋ hǎːj paj
ยา	jaː
สังกัด	sǎŋ kàt
ไม่ค่อย	mâj kʰɔ̂ːj
มะเร็ง	máʔ reŋ
เยลลี่	jeːn lîː
การปลูกถ่าย	kaːn plùːk tʰàːj
ถู	tʰǔː
รายละเอียด	raːj láʔ ʔìːat
การเจาะ	kaːn tɕɔ̀ʔ
บดขยี้	bòt kʰà jîː
ทางเดิน	tʰaːŋ dɤːn
ปากกา	pàːk kaː
ผู้กระทำความผิด	pʰûː kràʔ tʰam kʰwaːm pʰìt
ปรากฏการณ์	praː kòt kaːn
ถูกลักพาตัว	tʰùːk lák pʰaː tuːa
การเข้ารหัส	kaːn kʰâw rá hàt
ทิ้ง	tʰíŋ
คาง	kʰaːŋ
ทึ่ง	tʰɯ̂ŋ
แล่นเรือ	lɛ̂ːn rɯːa
อาหารรสเลิศ	ʔaː hǎːn rót lɤ̂ːt
สีสัน	sǐː sǎn
ถัก	tʰàk
สิ้นสุด	sîn sùt
ผู้ปฏิบัติ	pʰûːp tìʔ bàt
ขอทาน	kʰɔ̌ː tʰaːn
ยกเว้น	jók wén
มากมาย	mâːk maːj
ประมาณการ	pràʔ maːn kaːn
กระพริบ	kràʔ pʰríp
ตัวเลข	tuːa lêːk
ติดตั้ง	tìt tâŋ
สาธารณรัฐ	sǎː tʰaː rá ná rát
ดีงาม	diː ŋaːm
คอลัมนิสต์	kʰɔː lam nít
แก้ม	kɛ̂ːm
ความเห็นอกเห็นใจ	kʰwaːm hěn ʔòk hěn tɕaj
จดหมายข่าว	tɕòt mǎːj kʰàːw
เล	leː
อาภรณ์	ʔaː pʰon
ยกนิ้ว	jók níw
การใช้ประโยชน์	kaːn tɕʰáj pràʔ jôːt
จำกัด	tɕam kàt
สาบาน	sǎː baːn
ความถูกต้อง	kʰwaːm tʰùːk tɔ̂ŋ
หมุน	mǔn
ห่อ	hɔ̀ː
ของชำ	kʰɔ̌ːŋ tɕʰam
โฆษก	kʰoː sòk
เสริม	sɤ̌ːm
ตะเข็บ	tàʔ kʰèp
ผู้บังคับบัญชา	pʰûː baŋ kʰáp ban tɕʰaː
อธิษฐาน	ʔà tʰít tʰǎːn
ครอบครอง	kʰrɔ̂ːp kʰrɔːŋ
มิ้ม	mím
แม่เหล็ก	mɛ̂ː lèk
การตีความ	kaːn tiː kʰwaːm
กบ	kòp
บกพร่อง	bòk pʰrɔ̂ːŋ
การกลายพันธุ์	kaːn klaːj pʰan
ระบายความร้อน	ráʔ baːj kʰwaːm rɔ́ːn
ชื้น	tɕʰɯ́ːn
ลึกที่สุด	lɯ́k tʰîː sùt
การมีเพศสัมพันธ์	kaːn miː pʰêːt sǎm pʰan
ก่อนวัยอันควร	kɔ̀ːn waj ʔan kʰuːan
เปิดโปง	pɤ̀ːt poːŋ
การรับรู้	kaːn ráp rúː
ปู	puː
ครีมนวดผม	kʰriːm nûːat pʰǒm
การดำเนินการ	kaːn dam nɤːn kaːn
ถูกต้อง	tʰùːk tɔ̂ŋ
ประกาศ	pràʔ kàːt
อุปสรรค	ʔùp pà sàk
เรย์	reː
กับดัก	kàp dàk
ขมับ	kʰà màp
พักผ่อน	pʰák pʰɔ̀ːn
น่ากลัว	nâː kluːa
ลำไส้	lam sâj
โปรดปราน	pròːt praːn
จุดประกาย	tɕùt pràʔ kaːj
การสำเร็จความใคร่	kaːn sǎm rèt kʰwaːm kʰrâj
เหยือก	jɯ̀ːak
แชมเปญ	tɕʰɛːm peːn
เชื่อฟัง	tɕʰɯ̂ːa faŋ
มีปฏิสัมพันธ์	mîːp tìʔ sǎm pʰan
โปรแกรม	proː krɛːm
ความสำเร็จ	kʰwaːm sǎm rèt
อัตลักษณ์	ʔàt tà lák
ชมเชย	tɕʰom tɕʰɤːj
โบราณคดี	boː raːn ná kʰá diː
บังเอิญ	baŋ ʔɤːn
ผ้าอ้อม	pʰâː ʔɔ̂ːm
เตือน	tɯːan
อย่างดุเดือด	ʔà jâːŋ dùʔ dɯ̀ːat
กำจัด	kam tɕàt
คว้า	kʰwáː
วันเงินเดือนออก	wan ŋɤːn dɯːan ʔɔ̀ːk
กระทะ	kràʔ tʰáʔ
สิบแปด	sìp pɛ̀ːt
สปอยเลอร์	sòp ʔà já lɤː
ทนต่อ	tʰon tɔ̀ː
อย่างหลวมๆ	jàːŋ lǔːam lǔːam
สตรอเบอร์รี่	sà trɔː bɤː rîː
ลักษณะ	lák sàʔ nàʔ
ฝูง	fǔːŋ
การสังหารหมู่	kaːn sǎŋ hǎːn mùː
ขีด	kʰìːt
เสนอ	sà nɤ̌ː
หลอน	lɔ̌ːn
นักสืบ	nák sɯ̀ːp
ที่รัก	tʰîː rák
ชักนำ	tɕʰák nam
สอดคล้อง	sɔ̀ːt kʰlɔ́ːŋ
ปลาวาฬ	plaː waːn
โยก	jôːk
รถแทรกเตอร์	rót tʰrɛ̂ːk tɤː
อาวุธปืน	ʔaː wút pɯːn
แรงจูงใจ	rɛːŋ tɕuːŋ tɕaj
มาโคร	maː kʰroː
พลัดถิ่น	pʰlát tʰìn
เตือน	tɯːan
มอ	mɔː
สามี	sǎː miː
อนุบาล	ʔà núʔ baːn
ขยายใหญ่ขึ้น	kʰà jaːj jàj kʰɯ̂n
ขี้ขลาด	kʰîː kʰlàːt
ซอมบี้	sɔːm bîː
สตรอเบอร์รี่	sà trɔː bɤː rîː
ทริกเกอร์	tʰá rík kɤː
ถูกคุมขัง	tʰùːk kʰum kʰǎŋ
รองเท้า	rɔːŋ tʰáːw
แม่ผมอยากเอาคนแก่	mɛ̂ː pʰǒm ʔà jâːk ʔaw kʰon kɛ̀ː
เต้นรำ	tên ram
กรอบ	krɔ̀ːp
ที่สุด	tʰîː sùt
เครื่องขยายเสียง	kʰrɯ̂ːaŋ kʰà jǎːj sǐːaŋ
หนี	nǐː
ความแตกต่าง	kʰwaːm tɛ̀ːk tàːŋ
จำเป็น	tɕam pen
การจับกุม	kaːn tɕàp kum
หลอดเลือด	lɔ̀ːt lɯ̂ːat
อย่างแหลมคม	jàːŋ lɛ̌ːm kʰom
ไอวี่	ʔaj wîː
การประเมินค่า	kaːn pràʔ mɤːn kʰâː
การจับคู่	kaːn tɕàp kʰûː
ละครสัตว์	láʔ kʰɔːn sàt
เป็นแบบอย่าง	pen bɛ̀ːp jàːŋ
เข้าแถว	kʰâw tʰɛ̌ːw
อุดมสมบูรณ์	ʔùʔ dom sǒm buːn
น้ำผลไม้	náːm pʰǒn lá máːj
จับต้องได้	tɕàp tɔ̂ːŋ dâj
ความอยาก	kʰwaːm jàːk
พันธะ	pʰan tʰáʔ
ขั้ว	kʰûːa
ขาออก	kʰǎː ʔɔ̀ːk
ทอด	tʰɔ̂ːt
เกิน	kɤːn
เครื่องส่ง	kʰrɯ̂ːaŋ sòŋ
การบูรณาการ	kaːn buːn naː kaːn
ขโมย	kʰà moːj
กรวด	krùːat
พรีเมี่ยม	pʰriː mîːam
ปกปิด	pòk pìt
รักร่วมเพศ	rák rûːam pʰêːt
น่าพอใจ	nâː pʰɔː tɕaj
กลืนไม่เข้าคายไม่ออก	klɯːn mâj kʰâw kʰaːj mâj ʔɔ̀ːk
ผู้สังเกตการณ์	pʰûː sǎŋ kèːt kaːn
เป็นลม	pen lom
รัฐสภา	rát tʰà sà pʰaː
อ้อนวอน	ʔɔ̂ːn wɔːn
ชลประทาน	tɕʰon lá pràʔ tʰaːn
การพิจารณาคดี	kaːn pʰíʔ tɕaːn nâːk diː
แมลง	má lɛːŋ
การแก้ไข	kaːn kɛ̂ː kʰǎj
ร่างกาย	râːŋ kaːj
ลูกหลาน	lûːk lǎːn
เครื่องควบคุม	kʰrɯ̂ːaŋ kʰûːap kʰum
ยานอวกาศ	jaːn ʔà wá kàːt
แร่	rɛ̂ː
อย่างมาก	jàːŋ mâːk
การยืม	kaːn jɯːm
แปรง	prɛːŋ
ท่าเรือ	tʰâː rɯːa
การตรวจจับ	kaːn trùːat tɕàp
แท่ง	tʰɛ̂ːŋ
คงไว้	kʰoŋ wáj
ความขัดแย้ง	kʰwaːm kʰàt jɛ́ːŋ
แถวหน้า	tʰɛ̌ːw nâː
เย็บปักถักร้อย	jép pàk tʰàk rɔ́ːj
ของหวาน	kʰɔ̌ːŋ wǎːn
ปลายทาง	plaːj tʰaːŋ
ตลับ	tà làp
ลดความซับซ้อน	lót kʰwaːm sáp sɔ́ːn
ภูมิแพ้	pʰuːm pʰɛ́ː
ภาคทัณฑ์	pʰâːk tʰan
ถดถอย	tʰòt tʰɔ̌ːj
ให้ความรู้	hâj kʰwaːm rúː
ไซไฟ	saj faj
บำบัด	bam bàt
ตะกร้า	tàʔ krâː
องุ่น	ʔà ŋùn
การให้	kaːn hâj
ทั่วทั้งรัฐ	tʰûːa tʰáŋ rát
ยุ่ง	jûŋ
ไปรษณีย์	praj sà niː
เป็นหนี้	pen nîː
เค้น	kʰén
รีบูต	riː bùːt
สเปค	sà pèːk
บอล	bɔːn
ผ้าห่ม	pʰâː hòm
มารยาท	maː rá jâːt
ติดตาม	tìt taːm
เบอร์เกอร์	bɤː kɤː
รอบ	rɔ̂ːp
ล้อม	lɔ́ːm
ผู้ที่ไม่เชื่อในพระเจ้า	pʰûː tʰîː mâj tɕʰɯ̂ːa naj pʰráʔ tɕâw
อ่อนแอ	ʔɔ̀ːn ʔɛː
สหาย	sà hǎːj
แฟชั่น	fɛː tɕʰân
ข้น	kʰôn
ความคล้ายคลึงกัน	kʰwaːm kʰláːj kʰlɯŋ kan
พยายาม	pʰá jaː jaːm
อุทธรณ์	ʔùt tʰɔːn
โดม	doːm
ซูเปอร์ฮีโร่	suː pɤː hiː rôː
การปกครอง	kaːn pòk kʰrɔːŋ
กลืน	klɯːn
อาการ	ʔaː kaːn
ประธานาธิบดี	pràʔ tʰaː naː tʰíp bɔː diː
อาน	ʔaːn
ซอฟต์บอล	sɔ̂ːf bɔːn
กรอง	krɔːŋ
ตรวจสอบแล้ว	trùːat sɔ̀ːp lɛ́ːw
ชาวต่างชาติ	tɕʰaːw tàːŋ tɕʰâːt
บิด	bìt
หน้าผาก	nâː pʰàːk
โน้มน้าว	nóːm náːw
อึ้ง	ʔɯ̂ŋ
อยู่ในช่วง	ʔà jûː naj tɕʰûːaŋ
ศีล	sǐːn
ตาด	tàːt
ฉี่	tɕʰìː
เจือปน	tɕɯːa pon
ไม่มีความหมาย	mâj mîːk waːm mǎːj
เร่ง	rêŋ
จิตเวช	tɕìt wêːt
ค่าปรับ	kʰâː pràp
ตัวเชื่อมต่อ	tuːa tɕʰɯ̂ːam tɔ̀ː
ผีเสื้อ	pʰǐː sɯ̂ːa
ตัวควบคุม	tuːa kʰûːap kʰum
แก้ไข	kɛ̂ː kʰǎj
ที่ปรึกษา	tʰîː prɯ̀k sǎː
ร่อแร่	rɔ̂ː rɛ̂ː
ห้องปฏิบัติการ	hɔ̂ːŋ pà tìʔ bàt kaːn
ฝนตก	fǒn tòk
เพราะ	pʰrɔ́ʔ
เสียบปลั๊ก	sìːap plák
รวม	ruːam
เงินอุดหนุน	ŋɤn ʔùt nǔn
กัญชา	kan tɕʰaː
ได้ยิน	dâj jin
เทพธิดา	tʰêːp tʰíʔ daː
ผู้สังเกตการณ์	pʰûː sǎŋ kèːt kaːn
สูญพันธุ์	sǔːn pʰan
ตื่นเต้น	tɯ̀ːn tên
ผ่อนคลาย	pʰɔ̀ːn kʰlaːj
พลังงาน	pʰá laŋ ŋaːn
ผิดกฎหมาย	pʰìt kòt mǎːj
ทางเท้า	tʰaːŋ tʰáːw
คลาน	kʰlaːn
ลืม	lɯːm
กิจวัตร	kìt tɕà wát
ลูกไก่	lûːk kàj
ท่อน	tʰɔ̂ːn
ทางสรีรวิทยา	tʰaː ŋót riːn wít jaː
ชั้นเชิง	tɕʰán tɕʰɤːŋ
ล่าม	lâːm
แบบแยกส่วน	bɛ̀ːp jɛ̂ːk sùːan
จม	tɕom
จ้อง	tɕɔ̂ːŋ
อนุพันธ์	ʔà núʔ pʰan
การพึ่งพา	kaːn pʰɯ̂ŋ pʰaː
ที่พัก	tʰîː pʰák
เคมีบำบัด	kʰeː miː bam bàt
ล้อเลียน	lɔ́ː liːan
ซิป	síp
ผสมผสาน	pʰà sǒm pʰà sǎːn
ดาวน์	daːw
ความยุติธรรม	kʰwaːm jút tìʔ tʰam má
ด้วยความยินดี	dûaj kʰwaːm jin diː
มรดก	mɔː rá dòk
รีมิกซ์	riː mík
ทรัพย์สิน	sáp sǐn
ปั้น	pân
โรยหน้า	roːj nâː
ขยะ	kʰà jàʔ
ในทางกลับกัน	naj tʰaːŋ klàp kan
ความสามารถ	kʰwaːm sǎː mâːt
มาตุภูมิ	maː tùʔ pʰuːm
อัลมอนด์	ʔan mɔːn
เขตเลือกตั้ง	kʰèːt lɯ̂ːak tâŋ
ลึกซึ้ง	lɯ́k sɯ́ŋ
พระเอก	pʰráʔ ʔèːk
ถอนตัว	tʰɔ̌ːn tuːa
ดิจิทัล	dìʔ tɕìʔ tʰan
โฉนด	tɕʰà nòːt
การฆ่าล้างเผ่าพันธุ์	kaːn kʰâː láːŋ pʰàw pʰan
ขั้นตอนการทำงาน	kʰân tɔːn kaːn tʰam ŋaːn
ชื่นชม	tɕʰɯ̂ːn tɕʰom
ค้างคาว	kʰáːŋ kʰaːw
แยก	jɛ̂ːk
จุดชมวิว	tɕùt tɕʰom wiw
อธิบาย	ʔà tʰíʔ baːj
การแข่งขัน	kaːn kʰɛ̀ŋ kʰǎn
คืนชีพ	kʰɯːn tɕʰîːp
นิมิตร	níʔ mít
บริบท	bɔː ríʔ bòt
เคาน์เตอร์	kʰaw tɤː
สำรวจ	sǎm rùːat
ไม่เป็นอันตราย	mâj pen ʔan traːj
มัสยิด	mát sà jít
อิสระ	ʔìt sà ràʔ
สวรรค์	sà wǎn
ติดใจ	tìt tɕaj
ความคิดฟุ้งซ่าน	kʰwaːm kʰít fúŋ sâːn
ไดอะแกรม	daj ʔàʔ krɛːm
แม่	mɛ̂ː
กระดานชนวน	kràʔ daːn tɕʰá nuːan
จัด	tɕàt
ขยาย	kʰà jǎːj
น่ากลัว	nâː kluːa
ลัทธิ	lát tʰíʔ
มีเหตุผล	miː hèːt pʰǒn
ผู้ฟัง	pʰûː faŋ
รบกวน	róp kuːan
อักษร	ʔàk sɔ̌ːn
การลด	kaːn lót
สัมพันธ์กัน	sǎm pʰan kan
แฮงค์	hɛːŋ
อย่างประณีต	ʔà jâːŋ pràʔ nîːt
แล้วแต่	lɛ́ːw tɛ̀ː
การเข้าซื้อกิจการ	kaːn kʰâw sɯ́ː kìt kaːn
ชอบธรรม	tɕʰɔ̂ːp tʰam
วงเล็บ	woŋ lép
อ้าง	ʔâːŋ
นักเศรษฐศาสตร์	nák sèːt tʰà sàːt
ทายาท	tʰaː jâːt
ลี้ภัย	líː pʰaj
เก่ง	kèŋ
กรีส	krìːt
เนรเทศ	neː rá tʰêːt
กลมกลืน	klom klɯːn
เพื่อนร่วมทีม	pʰɯ̂ːan rûːam tʰiːm
อัปโหลด	ʔàp lòːt
ออกอากาศ	ʔɔ̀ːk ʔaː kàːt
ไวยากรณ์	waj jaː kɔːn
แรงม้า	rɛːŋ máː
เสียงก้อง	sǐːaŋ kɔ̂ːŋ
เต็มความยาว	tem kʰwaːm jaːw
สมาชิกสภานิติบัญญัติ	sà maː tɕʰík sà pʰaː níʔ tìʔ ban ját
ออกเดินทาง	ʔɔ̀ːk dɤːn tʰaːŋ
ขอบเสื้อผู้หญิงตอนหน้าอก	kʰɔ̀ːp sɯ̂ːa pʰûː jǐŋ tɔːn nâː ʔòk
การเลือกตั้ง	kaːn lɯ̂ːak tâŋ
ผักกาดหอม	pʰàk kàːt hɔ̌ːm
จินตนาการ	tɕin tà naː kaːn
เป็นโค้ช	pen kʰóːt
มอบอำนาจ	mɔ̂ːp ʔam nâːt
หลอกลวง	lɔ̀ːk luːaŋ
ภาษีอากร	pʰaː sǐː ʔaː kɔːn
ปืนไรเฟิล	pɯːn raj fɤːn
เจรจา	tɕeːn rá tɕaː
ความบริสุทธิ์	kʰwaːm bɔː ríʔ sùt
พายุทอร์นาโด	pʰaː júʔ tʰɔː naː doː
การทดสอบ	kaːn tʰót sɔ̀ːp
ทะเยอทะยาน	tʰáʔ jɤː tʰáʔ jaːn
สามัคคี	sǎː mák kʰiː
กองหลัง	kɔːŋ lǎŋ
ทางเดิน	tʰaːŋ dɤːn
ป๊อปคอร์น	pɔ́ːp kʰɔːn
นักเดินทาง	nák dɤːn tʰaːŋ
ดินเนอร์	din nɤː
วิดเจ็ต	wít tɕèt
แคปซูล	kʰɛ́ːp suːn
ตนเอง	ton ʔeːŋ
ถูกกล่าวหา	tʰùːk klàːw hǎː
แม่	mɛ̂ː
ทวีต	tʰá wîːt
ห้อง	hɔ̂ːŋ
มี	miː
อุกอาจ	ʔùk ʔàːt
โยก	jôːk
แกว่ง	kwɛ̀ŋ
คาดการณ์ไม่ได้	kʰâːt kaːn mâj dâj
ปิดตัวลง	pìt tuːa loŋ
หายขาด	hǎːj kʰàːt
ยาย	jaːj
ขอโทษ	kʰɔ̌ː tʰôːt
ปม	pom
คุ้มค่า	kʰúm kʰâː
บิกินี่	bìʔ kìʔ nîː
ปลั๊กอิน	plák ʔin
ยักษ์	ják
ชัตเตอร์	tɕʰát tɤː
คัมภีร์	kʰam pʰiː
สถานทูต	sà tʰǎːn tʰûːt
สร้างใหม่	sà ráːŋ màj
ให้ความร่วมมือ	hâj kʰwaːm rûːam mɯː
ขายดีที่สุด	kʰǎːj diː tʰîː sùt
ร้ายแรง	ráːj rɛːŋ
แรงจูงใจ	rɛːŋ tɕuːŋ tɕaj
สิ่งที่ทำให้ไขว้เขว	sìŋ tʰîː tʰam hâj kʰwâj kʰwěː
ลูกศร	lûːk sɔ̌ːn
ปลด	plòt
ไอ้	ʔâj
หัวเตา	hǔːa taw
วันหยุด	wan jùt
อินฟราเรด	ʔin fraː rêːt
ประวัติ	pràʔ wàt
ผู้ก่อการร้าย	pʰûː kɔ̀ː kaːn ráːj
ชอบผจญภัย	tɕʰɔ̂ːp pʰà tɕon pʰaj
ปั่น	pàn
คว้า	kʰwáː
ดึงดูด	dɯŋ dùːt
เลินเล่อ	lɤːn lɤ̂ː
สภาพที่เป็นอยู่	sà pʰâːp tʰîː pen ʔà jûː
กรีฑา	kriː tʰaː
ฉีด	tɕʰìːt
สิ่งล่อใจ	sìŋ lɔ̂ː tɕaj
การส่งมอบ	kaːn sòŋ mɔ̂ːp
ไม่แข็งแรง	mâj kʰɛ̌ŋ rɛːŋ
ไม้บรรทัด	máːj ban tʰát
ประกาศนียบัตร	pràʔ kàːt sà niː já bàt
เพื่อนร่วมชั้น	pʰɯ̂ːan rûːam tɕʰán
ทางสถิติ	tʰaː ŋót tʰìʔ tìʔ
ม็อด	mɔ́t
สูตร	sùːt
รองเท้าแตะ	rɔːŋ tʰáːw tɛ̀ʔ
กรรมพันธุ์	kam má pʰan
วิทยาเขต	wít tʰá jaː kʰèːt
แม่	mɛ̂ː
ขยาย	kʰà jǎːj
คู่	kʰûː
สมดุล	sà má dun
เครา	kʰraw
บิดเบือน	bìt bɯːan
มีชื่อเสียง	miː tɕʰɯ̂ː sǐːaŋ
แถบด้านข้าง	tʰɛ̀ːp dâːn kʰâːŋ
ผู้เข้าแข่งขัน	pʰûː kʰâw kʰɛ̀ŋ kʰǎn
เครื่องหมาย	kʰrɯ̂ːaŋ mǎːj
ถุงมือ	tʰǔŋ mɯː
สมุนไพร	sà mǔn pʰraj
การเปลี่ยน	kaːn plìːan
ริมน้ำ	rim náːm
อุทกภัย	ʔùʔ tʰók kà pʰaj
เมล็ดถั่ว	má lét tʰùːa
อ้างอิง	ʔâːŋ ʔiŋ
การประหัตประหาร	kaːn pràʔ hàt pràʔ hǎːn
ผู้อุปถัมภ์	pʰûː ʔùp pà tʰǎm
โทรคมนาคม	tʰoː rá kʰá má naː kʰom
ทำความสะอาด	tʰam kʰwaːm sàʔ ʔàːt
ฮิพฮอพ	híp hɔ́p
ยูโร	juː roː
การก่อตัว	kaːn kɔ̀ː tuːa
อีฟ	ʔìːf
อนุสาวรีย์	ʔà núʔ sǎː wá riː
สิ่งทอ	sìŋ tʰɔː
ปรอท	pà rɔ̀ːt
ความเอื้ออาทร	kʰwaːm ʔɯ̂ːa ʔaː tʰɔːn
ซ้ำ	sám
ที่เหลือ	tʰîː lɯ̌ːa
ตกค้าง	tòk kʰáːŋ
ชุดย่อย	tɕʰút jɔ̂ːj
ไข่มุก	kʰàj múk
เพิกถอน	pʰɤ̂ːk tʰɔ̌ːn
กำลังอัพโหลด	kam laŋ ʔàp lòːt
คราบ	kʰrâːp
ฟาง	faːŋ
หวาดกลัว	wàːt kluːa
ราชวงศ์	râːt tɕʰá woŋ
ทำงานร่วมกัน	tʰam ŋaːn rûːam kan
ปรับตัวได้	pràp tuːa dâj
แยก	jɛ̂ːk
แทนที่	tʰɛːn tʰîː
ประจำการ	pràʔ tɕam kaːn
มรณกรรม	mɔː rá ná kam
ซิลิโคน	síʔ líʔ kʰoːn
ใจแตก	tɕaj tɛ̀ːk
ขนาดใหญ่	kʰà nàːt jàj
ทางเรขาคณิต	tʰaːŋ reː kʰàːk nít
ชีวิตจริง	tɕʰiː wít tɕiŋ
ไม่ต่อเนื่อง	mâj tɔ̀ː nɯ̂ːaŋ
ผี	pʰǐː
การแก้ไข	kaːn kɛ̂ː kʰǎj
การเจรจาต่อรอง	kaːn tɕeːn rá tɕaː tɔ̀ː rɔːŋ
โจร	tɕoːn
การจัดรูปแบบ	kaːn tɕàt rûːp bɛ̀ːp
พันธุกรรม	pʰan tʰúʔ kam
รั่ว	rûːa
ผ้าอ้อม	pʰâː ʔɔ̂ːm
กำลังทดลอง	kam laŋ tʰót lɔːŋ
เปลี่ยนใจเลื่อมใส	plìːan tɕaj lɯ̂ːam sǎj
รุนแรงขึ้น	run rɛːŋ kʰɯ̂n
ไม่สม่ำเสมอ	mâj sà mâm sěː mɔː
สามปี	sǎːm piː
บทกวี	bòt kà wiː
ไปที่	paj tʰîː
ละเมิด	láʔ mɤ̂ːt
ผู้จัดจำหน่าย	pʰûː tɕàt tɕam nàːj
ที่อยู่อาศัย	tʰîː jùː ʔaː sǎj
เป็นต้นไป	pen tôn paj
สี่ปี	sìː piː
ขอ	kʰɔ̌ː
หม้อหุงข้าว	mɔ̂ː hǔŋ kʰâːw
ไพรเมอร์	pʰraj mɤː
สอดคล้อง	sɔ̀ːt kʰlɔ́ːŋ
ลูกบาศก์	lûːk bàːt
เค้าโครง	kʰáːw kʰroːŋ
พยักหน้า	pʰá ják nâː
กระสุน	kràʔ sǔn
พระ	pʰráʔ
คำสาบาน	kʰam sǎː baːn
อิฐ	ʔìt
รายจ่าย	raːj tɕàːj
ต้นฉบับ	tôn tɕʰà bàp
ขอแสดงความนับถือ	kʰɔ̌ː sà dɛːŋ kʰwaːm náp tʰɯ̌ː
กิตติมศักดิ์	kìt tìʔ má sàk
ฝอย	fɔ̌ːj
ปัสสาวะ	pàt sǎː wáʔ
สามารถระบุได้	sǎː maː rót ráʔ bùʔ dâj
ร่าเริง	râː rɤːŋ
ชั้น	tɕʰán
ประกาศ	pràʔ kàːt
สูตร	sùːt
ความโลภ	kʰwaːm lôːp
ต้นน้ำ	tôn náːm
เห็ด	hèt
ลิปสติก	líp sà tìk
สลัด	sà làt
แบบองค์รวม	bɛ̀ːp ʔoŋ ruːam
ปลาเทราท์	plaː tʰeː raː
ความสนุกสนาน	kʰwaː mót núʔ kòt naːn
คาด	kʰâːt
ตัวแทน	tuːa tʰɛːn
เผยแพร่	pʰɤ̌ːj pʰrɛ̂ː
หนังสือสอนทำอาหาร	nǎŋ sɯ̌ː sɔ̌ːn tʰam ʔaː hǎːn
ปู	puː
กายสิทธิ์	kaːj já sìt
โจทก์	tɕòːt
กล้าม	klâːm
ช้อนโต๊ะ	tɕʰɔ́ːn tóʔ
กราฟิก	kraː fík
พระสงฆ์	pʰráʔ sǒŋ
ภูเขา	pʰuː kʰǎw
วงรี	woŋ riː
หลอกลวง	lɔ̀ːk luːaŋ
สไตล์	sà taj
โย่	jôː
ยืนยัน	jɯːn jan
โหว่	wòː
สะบัด	sàʔ bàt
ไต	taj
ใช้ประโยชน์	tɕʰáj pràʔ jôːt
ชอบ	tɕʰɔ̂ːp
เด็ดขาด	dèt kʰàːt
อิลลินอยส์	ʔin líʔ nɔːj
ฉีกขาด	tɕʰìːk kʰàːt
ภาวะสมองเสื่อม	pʰaː wáʔ sǒm ʔoŋ sɯ̀ːam
พิธีกรรม	pʰíʔ tʰiː kam
อาเขต	ʔaː kʰèːt
ผู้สร้างภาพยนตร์	pʰûːt ráːŋ pʰâːp jon
จูงใจ	tɕuːŋ tɕaj
ความไร้เดียงสา	kʰwaːm ráj diːaŋ sǎː
หด	hòt
แพลทินัม	pʰlɛː tʰíʔ nam
