坤卦靜態 坤卦靜態: kʰ 629%, ŋ 162%, ʊ 150%, ʂ 113%, ɻ 100%, m 96%, œ 57%, pʰ 39%, y 21%, e 16%
離卦動態 乾卦靜態: ɤ 533%, ʊ 301%, i 237%, t͡ɕ 170%, j 150%, l 128%, t͡ɕʰ 126%, ɔ 98%, s 50%, ɛ 50%
離卦動態 乾卦動態: ɤ 315%, ʊ 301%, l 209%, i 191%, m 99%, ŋ 88%, t͡ɕʰ 85%, j 68%, ɕ 59%, ɔ 44%
兌卦靜態 兌卦靜態: ɛ 153%, ʈ͡ʂ 111%, p 97%, ɔ 94%, n 88%, œ 83%, kʰ 46%, t͡sʰ 39%, ɤ 34%, u 30%
兌卦靜態 兌卦動態: ɤ 548%, ʂ 362%, ʊ 281%, ɔ 121%, t͡ɕʰ 120%, kʰ 112%, ʈ͡ʂ 37%, ɛ 36%, ɑ 27%, ʈ͡ʂʰ 16%
兌卦靜態 乾卦靜態: ɔ 249%, k 245%, t 126%, ʈ͡ʂ 97%, u 91%, ɛ 85%, ɑ 78%, n 48%, kʰ 36%, t͡s 29%
兌卦靜態 乾卦動態: ə 100%, ɛ 99%, t 93%, ʈ͡ʂ 72%, ɯ 65%, ʌ 65%, n 57%, l 51%, ɔ 42%, ŋ 32%
兌卦動態 兌卦動態: ʂ 342%, f 245%, ɑ 191%, ɻ 170%, s 97%, ə 68%, ɤ 46%, t͡ɕʰ 30%, ʈ͡ʂʰ 14%, m 10%
兌卦動態 乾卦靜態: ʈ͡ʂʰ 342%, ʂ 293%, ɑ 202%, t͡s 156%, t 154%, ɻ 140%, ɤ 116%, kʰ 90%, ʊ 62%, tʰ 28%
兌卦動態 乾卦動態: ə 584%, ŋ 337%, ʈ͡ʂʰ 336%, t͡ɕʰ 177%, t͡s 96%, ɨ 85%, ɻ 81%, ʂ 40%, pʰ 37%, m 30%
乾卦靜態 乾卦靜態: ɔ 402%, k 181%, s 150%, t 128%, x 123%, u 109%, œ 86%, ə 77%, ʈ͡ʂʰ 69%, ɤ 67%
乾卦靜態 乾卦動態: l 143%, ɤ 124%, ɯ 113%, ʌ 113%, ŋ 82%, t 62%, ə 59%, ɕ 56%, k 56%, x 52%
乾卦動態 乾卦動態: l 195%, m 186%, ə 133%, ʊ 104%, ŋ 86%, ɯ 72%, ʌ 72%, ɻ 58%, ʈ͡ʂ 58%, i 37%

